model,ViPr,ViPr_adj,ViPr_abs,ViPr_abs_adj,ViPr+,ViPr_adj+,DV,DT,DV+,DV_adj,DV_adj+,ViPr_prime,ViPr_prime_adj,ViPr_prime+,ViPr_prime_adj+
Salesforce/blip-image-captioning-base,4.82863446343203,4.15852876305602,5.402226909660547,5.243605337888943,89.7811369830014,104.85302218554966,0.263916015625,0.153564453125,0.374755859375,-0.0078125,0.2109375,1.7186009538950715,-0.05087440381558029,2.440381558028617,1.3736089030206677
Salesforce/blip-image-captioning-large,0.3790384592721767,0.34626492496624006,1.0898979437537866,0.6948778095678516,40.240493808536264,47.544075999782386,0.0615234375,0.68896484375,0.386962890625,0.031982421875,0.2158203125,0.0892983699503898,0.04642097802976612,0.5616583982990787,0.3132530120481928
Salesforce/blip2-opt-2.7b,0.352815047275622,0.10708965509941389,0.603135430546924,0.5700146105073263,0.3626583375028222,43.79558338280337,1.14013671875,3.37744140625,1.447265625,0.8994140625,1.27587890625,0.3375740928148041,0.2663004192569033,0.4285094694231603,0.3777649269914703
Salesforce/blip2-opt-2.7b-coco,-0.041816264641956175,0.21251791235160475,0.8168845836979582,0.5681483925689691,0.387534159528001,0.39033315246028694,0.7392578125,3.3232421875,1.19775390625,0.556640625,1.064453125,0.2224507787246547,0.1674992653540993,0.3604172788715839,0.32030561269468116
Salesforce/blip2-opt-6.7b,-0.5233542544109197,-0.32803922269161184,1.1294620031674207,0.6713977058991193,0.2598395886639648,0.15882209874661085,0.123291015625,2.7119140625,0.90283203125,-0.1337890625,0.63232421875,0.045462729564278,-0.04933381346777098,0.3329132157003961,0.23316528628015845
Salesforce/blip2-opt-6.7b-coco,0.0847624229869384,0.09334177638556058,0.6158395689259838,0.46209195223150223,0.3503009959564611,0.2777168643085314,1.190673828125,3.884033203125,1.534912109375,0.683837890625,1.17626953125,0.3065560374630712,0.17606386322207557,0.39518511534351625,0.30284744484254195
microsoft/git-base,-1.0132982593810111,0.46747219917331884,3.2118283649669364,1.310070537850895,54.0193321441432,133.6560042349877,-1.077392578125,0.1123046875,0.17822265625,0.0693359375,0.326416015625,-9.593478260869565,0.6173913043478261,1.5869565217391304,2.9065217391304348
microsoft/git-base-coco,-0.09163328012487293,0.3570964648920272,2.504415439077471,1.701817158984916,66.22570228801062,166.0136039017056,-0.8037109375,0.16455078125,0.189453125,0.0712890625,0.32666015625,-4.884272997032641,0.4332344213649852,1.1513353115727003,1.9851632047477745
microsoft/git-base-textcaps,0.10728649706209265,0.2665303263930852,1.3870217387737183,1.0759067207334991,111.5769267778705,172.79035914856328,0.244140625,0.583251953125,0.465087890625,0.146484375,0.33203125,0.4185851820845542,0.25115110925073253,0.7974047718710757,0.5692758476349937
microsoft/git-large,-0.8875676694541803,-0.7688348886442936,3.779144646063589,1.1476705509002318,86.79672598715969,174.48163825737316,-0.27783203125,0.149658203125,0.2685546875,0.30712890625,0.43505859375,-1.8564437194127243,2.0522022838499185,1.7944535073409462,2.9070146818923326
microsoft/git-large-coco,0.5809733020724128,-0.3077360947585194,2.3244228022892877,0.837886374175454,156.58545786235848,168.70636026567746,0.54296875,0.21240234375,0.746337890625,0.36865234375,0.4716796875,2.55632183908046,1.735632183908046,3.513793103448276,2.220689655172414
microsoft/git-large-textcaps,-0.266105959057346,-0.5253390405834123,0.8796049754107496,0.7470806457892757,1.4995564448024983,94.83743330260293,-0.5087890625,0.285888671875,0.044921875,-0.1396484375,0.20166015625,-1.7796754910333048,-0.4884713919726729,0.15713065755764305,0.7053800170794193
microsoft/kosmos-2-patch14-224,0.8813663085335639,0.8940924717971953,0.9434671910764354,1.0931507228330133,0.3700780401275803,0.24160546828284618,0.9326171875,4.144775390625,1.21142578125,0.547607421875,1.083251953125,0.22501030806385108,0.1321199269600047,0.29227778759498146,0.2613535960417035
