model,plus_amb_score,minus_amb_score,plus_amb_img_score,minus_amb_img_score,DT,DV,DV_adj,ViPr,ViPr_adj,ViPr_abs,ViPr_abs_adj,DT+,DV+,DV_adj+,ViPr+,ViPr_adj+
google/paligemma-3b-pt-224,2.294954299926758,2.9009199142456055,5.249149322509766,4.148545265197754,-0.6059656143188477,-2.954195022583008,-1.7065696716308594,4.875185906222999,2.816281371921039,4.875185906222999,2.816281371921039,0.001,0.0,0.0,0.0,0.0
google/paligemma-3b-pt-224,4.599652290344238,4.54673957824707,3.86027193069458,4.139404296875,0.05291271209716797,0.7393803596496582,0.3320450782775879,13.97358650397419,6.275336589585999,13.97358650397419,6.275336589585999,0.05291271209716797,0.7393803596496582,0.3320450782775879,13.97358650397419,6.275336589585999
google/paligemma-3b-pt-224,5.350990295410156,5.387062072753906,7.639917373657227,7.493607044219971,-0.03607177734375,-2.2889270782470703,-0.18238210678100586,63.454790609137056,5.056088726734348,63.454790609137056,5.056088726734348,0.001,0.0,0.0,0.0,0.0
google/paligemma-3b-pt-224,5.24666690826416,5.006739616394043,5.085666179656982,5.060259819030762,0.2399272918701172,0.16100072860717773,0.21452093124389648,0.6710396610250335,0.8941080840441685,0.6710396610250335,0.8941080840441685,0.2399272918701172,0.16100072860717773,0.21452093124389648,0.6710396610250335,0.8941080840441685
google/paligemma-3b-pt-224,5.120792388916016,4.294363021850586,5.264881610870361,4.550215244293213,0.8264293670654297,-0.1440892219543457,0.11176300048828125,-0.17435152681709815,0.1352359983105886,0.17435152681709815,0.1352359983105886,0.8264293670654297,0.0,0.11176300048828125,0.0,0.1352359983105886
google/paligemma-3b-pt-224,3.9748592376708984,3.690730094909668,5.113108158111572,5.608264923095703,0.28412914276123047,-1.1382489204406738,0.7792859077453613,-4.0060970493167884,2.7427172734626475,4.0060970493167884,2.7427172734626475,0.28412914276123047,0.0,0.7792859077453613,0.0,2.7427172734626475
google/paligemma-3b-pt-224,2.299753189086914,2.6440792083740234,4.998282432556152,4.849437236785889,-0.3443260192871094,-2.6985292434692383,-0.49317121505737305,7.837134263208624,1.4322798378072965,7.837134263208624,1.4322798378072965,0.001,0.0,0.0,0.0,0.0
google/paligemma-3b-pt-224,5.1943817138671875,5.456892013549805,6.685825824737549,6.148005485534668,-0.2625102996826172,-1.4914441108703613,-0.800330638885498,5.681468927785165,3.0487590005158722,5.681468927785165,3.0487590005158722,0.001,0.0,0.0,0.0,0.0
google/paligemma-3b-pt-224,6.205941677093506,5.467974662780762,5.867259502410889,6.151332855224609,0.7379670143127441,0.3386821746826172,1.0220403671264648,0.45893944866631475,1.3849404476137368,0.45893944866631475,1.3849404476137368,0.7379670143127441,0.3386821746826172,1.0220403671264648,0.45893944866631475,1.3849404476137368
google/paligemma-3b-pt-224,5.536160945892334,4.452693939208984,7.422300815582275,6.810789585113525,1.0834670066833496,-1.8861398696899414,0.4719557762145996,-1.7408373841153597,0.43559773699000304,1.7408373841153597,0.43559773699000304,1.0834670066833496,0.0,0.4719557762145996,0.0,0.43559773699000304
google/paligemma-3b-pt-224,4.6051506996154785,5.068668365478516,3.985243797302246,4.037957668304443,-0.4635176658630371,0.6199069023132324,-0.41080379486083984,-1.337396496332043,0.8862743000225293,1.337396496332043,0.8862743000225293,0.001,0.6199069023132324,0.0,619.9069023132324,0.0
google/paligemma-3b-pt-224,3.691473960876465,4.494584083557129,3.943614959716797,4.364358901977539,-0.8031101226806641,-0.25214099884033203,-0.3823661804199219,0.31395569763050957,0.47610678737760087,0.31395569763050957,0.47610678737760087,0.001,0.0,0.0,0.0,0.0
google/paligemma-3b-pt-224,4.905812740325928,4.638542175292969,7.372128486633301,6.958606243133545,0.267270565032959,-2.466315746307373,-0.14625167846679688,-9.227786628891343,-0.5472045844208904,9.227786628891343,0.5472045844208904,0.267270565032959,0.0,0.0,0.0,0.0
google/paligemma-3b-pt-224,3.095883369445801,2.973623275756836,5.749384880065918,5.228091239929199,0.12226009368896484,-2.653501510620117,-0.3990335464477539,-21.703741838859898,-3.2638086100515604,21.703741838859898,3.2638086100515604,0.12226009368896484,0.0,0.0,0.0,0.0
google/paligemma-3b-pt-224,7.119926452636719,5.260904312133789,7.144818305969238,6.564066410064697,1.8590221405029297,-0.02489185333251953,1.2782702445983887,-0.013389756254212995,0.6876035614361067,0.013389756254212995,0.6876035614361067,1.8590221405029297,0.0,1.2782702445983887,0.0,0.6876035614361067
google/paligemma-3b-pt-224,3.525914192199707,3.9349803924560547,3.0828351974487305,3.4184226989746094,-0.40906620025634766,0.44307899475097656,-0.07347869873046875,-1.0831474085938029,0.17962544616109125,1.0831474085938029,0.17962544616109125,0.001,0.44307899475097656,0.0,443.07899475097656,0.0
google/paligemma-3b-pt-448,1.4934444427490234,2.711197853088379,2.7201642990112305,2.946748733520508,-1.2177534103393555,-1.226719856262207,-0.9911689758300781,1.007363104752343,0.8139324163780134,1.007363104752343,0.8139324163780134,0.001,0.0,0.0,0.0,0.0
google/paligemma-3b-pt-448,3.3562417030334473,2.9364066123962402,3.175480842590332,3.1878795623779297,0.41983509063720703,0.18076086044311523,0.4322338104248047,0.43055205359029053,1.0295323570232766,0.43055205359029053,1.0295323570232766,0.41983509063720703,0.18076086044311523,0.4322338104248047,0.43055205359029053,1.0295323570232766
google/paligemma-3b-pt-448,4.0788445472717285,3.6030168533325195,6.407253742218018,5.645939826965332,0.475827693939209,-2.328409194946289,-0.28548622131347656,-4.893387300916039,-0.5999781537514919,4.893387300916039,0.5999781537514919,0.475827693939209,0.0,0.0,0.0,0.0
