model,plus_amb_score,minus_amb_score,plus_amb_img_score,minus_amb_img_score,DT,DV,DV_adj,ViPr,ViPr_adj,ViPr_abs,ViPr_abs_adj,DT+,DV+,DV_adj+,ViPr+,ViPr_adj+
microsoft/kosmos-2-patch14-224,14.7734375,10.53125,15.0078125,9.6484375,4.2421875,-0.234375,-1.1171875,-0.0552486187845303,-0.2633517495395948,0.0552486187845303,0.2633517495395948,4.2421875,0.0,0.0,0.0,0.0
microsoft/kosmos-2-patch14-224,11.3125,7.69140625,5.3828125,4.8359375,3.62109375,5.9296875,3.07421875,1.6375404530744335,0.8489751887810141,1.6375404530744335,0.8489751887810141,3.62109375,5.9296875,3.07421875,1.6375404530744335,0.8489751887810141
microsoft/kosmos-2-patch14-224,9.75,4.9375,11.875,3.9375,4.8125,-2.125,-3.125,-0.4415584415584415,-0.6493506493506493,0.4415584415584415,0.6493506493506493,4.8125,0.0,0.0,0.0,0.0
microsoft/kosmos-2-patch14-224,5.9765625,5.390625,5.0703125,4.265625,0.5859375,0.90625,-0.21875,1.5466666666666666,-0.3733333333333333,1.5466666666666666,0.3733333333333333,0.5859375,0.90625,0.0,1.5466666666666666,0.0
microsoft/kosmos-2-patch14-224,7.3125,2.734375,6.3359375,2.125,4.578125,0.9765625,0.3671875,0.2133105802047781,0.0802047781569965,0.2133105802047781,0.0802047781569965,4.578125,0.9765625,0.3671875,0.2133105802047781,0.0802047781569965
microsoft/kosmos-2-patch14-224,10.125,5.703125,9.40625,4.9609375,4.421875,0.71875,-0.0234375,0.1625441696113074,-0.0053003533568904,0.1625441696113074,0.0053003533568904,4.421875,0.71875,0.0,0.1625441696113074,0.0
microsoft/kosmos-2-patch14-224,11.578125,7.0,9.25,12.03125,4.578125,2.328125,7.359375,0.5085324232081911,1.607508532423208,0.5085324232081911,1.607508532423208,4.578125,2.328125,7.359375,0.5085324232081911,1.607508532423208
microsoft/kosmos-2-patch14-224,8.96875,4.1640625,7.4296875,3.46875,4.8046875,1.5390625,0.84375,0.3203252032520325,0.1756097560975609,0.3203252032520325,0.1756097560975609,4.8046875,1.5390625,0.84375,0.3203252032520325,0.1756097560975609
microsoft/kosmos-2-patch14-224,13.515625,13.7578125,15.6171875,12.9453125,-0.2421875,-2.1015625,-2.9140625,8.67741935483871,12.03225806451613,8.67741935483871,12.03225806451613,0.001,0.0,0.0,0.0,0.0
microsoft/kosmos-2-patch14-224,4.2265625,1.9609375,3.3984375,2.015625,2.265625,0.828125,0.8828125,0.3655172413793103,0.3896551724137931,0.3655172413793103,0.3896551724137931,2.265625,0.828125,0.8828125,0.3655172413793103,0.3896551724137931
